State,Date,deltaconfirmed,deltarecovered,deltatested,deltaother,deltadeceased,deltavaccinated1,deltavaccinated2,delta7confirmed,delta7recovered,delta7tested,delta7other,delta7deceased,delta7vaccinated1,delta7vaccinated2,totalconfirmed,totalrecovered,totaltested,totalother,totaldeceased,totalvaccinated1,totalvaccinated2
Andaman and Nicobar Islands,26-03-2020,1,,,,,,,1,,,,,,,1,,,,,,
Andaman and Nicobar Islands,27-03-2020,5,,,,,,,6,,,,,,,6,,,,,,
Andaman and Nicobar Islands,28-03-2020,3,,,,,,,9,,,,,,,9,,,,,,
Andaman and Nicobar Islands,29-03-2020,,,,,,,,9,,,,,,,9,,,,,,
Andaman and Nicobar Islands,30-03-2020,1,,,,,,,10,,,,,,,10,,,,,,
Andaman and Nicobar Islands,31-03-2020,,,,,,,,10,,,,,,,10,,,,,,
Andaman and Nicobar Islands,01-04-2020,,,,,,,,10,,,,,,,10,,,,,,
Andaman and Nicobar Islands,02-04-2020,,,,,,,,9,,,,,,,10,,,,,,
Andaman and Nicobar Islands,03-04-2020,,,,,,,,4,,,,,,,10,,,,,,
Andaman and Nicobar Islands,04-04-2020,,,,,,,,1,,,,,,,10,,,,,,
Andaman and Nicobar Islands,05-04-2020,,,,,,,,1,,,,,,,10,,,,,,
Andaman and Nicobar Islands,06-04-2020,,,,,,,,,,,,,,,10,,,,,,
Andaman and Nicobar Islands,07-04-2020,,,,,,,,,,,,,,,10,,,,,,
Andaman and Nicobar Islands,08-04-2020,1,,,,,,,1,,,,,,,11,,,,,,
Andaman and Nicobar Islands,09-04-2020,,10,,,,,,1,10,,,,,,11,10,,,,,
Andaman and Nicobar Islands,10-04-2020,,,,,,,,1,10,,,,,,11,10,,,,,
Andaman and Nicobar Islands,11-04-2020,,,,,,,,1,10,,,,,,11,10,,,,,
Andaman and Nicobar Islands,12-04-2020,,,,,,,,1,10,,,,,,11,10,,,,,
Andaman and Nicobar Islands,13-04-2020,,,,,,,,1,10,,,,,,11,10,,,,,
Andaman and Nicobar Islands,14-04-2020,,,,,,,,1,10,,,,,,11,10,,,,,
Andaman and Nicobar Islands,15-04-2020,,,,,,,,,10,,,,,,11,10,,,,,
Andaman and Nicobar Islands,16-04-2020,,1,,,,,,,1,,,,,,11,11,,,,,
Andaman and Nicobar Islands,17-04-2020,1,,1403,,,,,1,1,1403,,,,,12,11,1403,,,,
Andaman and Nicobar Islands,18-04-2020,2,,,,,,,3,1,1403,,,,,14,11,1403,,,,
Andaman and Nicobar Islands,19-04-2020,1,,,,,,,4,1,1403,,,,,15,11,1403,,,,
Andaman and Nicobar Islands,20-04-2020,1,,,,,,,5,1,1403,,,,,16,11,1403,,,,
Andaman and Nicobar Islands,21-04-2020,1,,,,,,,6,1,1403,,,,,17,11,1403,,,,
Andaman and Nicobar Islands,22-04-2020,1,,,,,,,7,1,1403,,,,,18,11,1403,,,,
Andaman and Nicobar Islands,23-04-2020,4,,,,,,,11,,1403,,,,,22,11,1403,,,,
Andaman and Nicobar Islands,24-04-2020,7,,1276,,,,,17,,1276,,,,,29,11,2679,,,,
Andaman and Nicobar Islands,25-04-2020,4,,,,,,,19,,1276,,,,,33,11,2679,,,,
Andaman and Nicobar Islands,26-04-2020,,,,,,,,18,,1276,,,,,33,11,2679,,,,
Andaman and Nicobar Islands,27-04-2020,,,169,,,,,17,,1445,,,,,33,11,2848,,,,
Andaman and Nicobar Islands,28-04-2020,,4,,,,,,16,4,1445,,,,,33,15,2848,,,,
Andaman and Nicobar Islands,29-04-2020,,,,,,,,15,4,1445,,,,,33,15,2848,,,,
Andaman and Nicobar Islands,30-04-2020,,1,,,,,,11,5,1445,,,,,33,16,2848,,,,
Andaman and Nicobar Islands,01-05-2020,,,906,,,,,4,5,1075,,,,,33,16,3754,,,,
Andaman and Nicobar Islands,02-05-2020,,10,,,,,,,15,1075,,,,,33,26,3754,,,,
Andaman and Nicobar Islands,03-05-2020,,6,,,,,,,21,1075,,,,,33,32,3754,,,,
Andaman and Nicobar Islands,04-05-2020,,,,,,,,,21,906,,,,,33,32,3754,,,,
Andaman and Nicobar Islands,05-05-2020,,,,,,,,,17,906,,,,,33,32,3754,,,,
Andaman and Nicobar Islands,06-05-2020,,,,,,,,,17,906,,,,,33,32,3754,,,,
Andaman and Nicobar Islands,07-05-2020,,1,,,,,,,17,906,,,,,33,33,3754,,,,
Andaman and Nicobar Islands,08-05-2020,,,,,,,,,17,,,,,,33,33,3754,,,,
Andaman and Nicobar Islands,09-05-2020,,,,,,,,,7,,,,,,33,33,3754,,,,
Andaman and Nicobar Islands,10-05-2020,,,,,,,,,1,,,,,,33,33,3754,,,,
Andaman and Nicobar Islands,11-05-2020,,,,,,,,,1,,,,,,33,33,3754,,,,
Andaman and Nicobar Islands,12-05-2020,,,,,,,,,1,,,,,,33,33,3754,,,,
Andaman and Nicobar Islands,13-05-2020,,,,,,,,,1,,,,,,33,33,3754,,,,
Andaman and Nicobar Islands,14-05-2020,,,,,,,,,,,,,,,33,33,3754,,,,
Andaman and Nicobar Islands,15-05-2020,,,,,,,,,,,,,,,33,33,3754,,,,
Andaman and Nicobar Islands,16-05-2020,,,2923,,,,,,,2923,,,,,33,33,6677,,,,
Andaman and Nicobar Islands,17-05-2020,,,,,,,,,,2923,,,,,33,33,6677,,,,
Andaman and Nicobar Islands,18-05-2020,,,,,,,,,,2923,,,,,33,33,6677,,,,
Andaman and Nicobar Islands,19-05-2020,,,288,,,,,,,3211,,,,,33,33,6965,,,,
Andaman and Nicobar Islands,20-05-2020,,,117,,,,,,,3328,,,,,33,33,7082,,,,
Andaman and Nicobar Islands,21-05-2020,,,85,,,,,,,3413,,,,,33,33,7167,,,,
Andaman and Nicobar Islands,22-05-2020,,,96,,,,,,,3509,,,,,33,33,7263,,,,
Andaman and Nicobar Islands,23-05-2020,,,64,,,,,,,650,,,,,33,33,7327,,,,
Andaman and Nicobar Islands,24-05-2020,,,,,,,,,,650,,,,,33,33,7327,,,,
Andaman and Nicobar Islands,25-05-2020,,,36,,,,,,,686,,,,,33,33,7363,,,,
Andaman and Nicobar Islands,26-05-2020,,,85,,,,,,,483,,,,,33,33,7448,,,,
Andaman and Nicobar Islands,27-05-2020,,,51,,,,,,,417,,,,,33,33,7499,,,,
Andaman and Nicobar Islands,28-05-2020,,,20,,,,,,,352,,,,,33,33,7519,,,,
Andaman and Nicobar Islands,29-05-2020,,,48,,,,,,,304,,,,,33,33,7567,,,,
Andaman and Nicobar Islands,30-05-2020,,,,,,,,,,240,,,,,33,33,7567,,,,
Andaman and Nicobar Islands,31-05-2020,,,139,,,,,,,379,,,,,33,33,7706,,,,
Andaman and Nicobar Islands,01-06-2020,,,99,,,,,,,442,,,,,33,33,7805,,,,
Andaman and Nicobar Islands,02-06-2020,,,281,,,,,,,638,,,,,33,33,8086,,,,
Andaman and Nicobar Islands,03-06-2020,,,209,,,,,,,796,,,,,33,33,8295,,,,
Andaman and Nicobar Islands,04-06-2020,,,118,,,,,,,894,,,,,33,33,8413,,,,
Andaman and Nicobar Islands,05-06-2020,,,281,,,,,,,1127,,,,,33,33,8694,,,,
Andaman and Nicobar Islands,06-06-2020,,,343,,,,,,,1470,,,,,33,33,9037,,,,
Andaman and Nicobar Islands,07-06-2020,,,205,,,,,,,1536,,,,,33,33,9242,,,,
Andaman and Nicobar Islands,08-06-2020,,,99,,,,,,,1536,,,,,33,33,9341,,,,
Andaman and Nicobar Islands,09-06-2020,1,,518,,,,,1,,1773,,,,,34,33,9859,,,,
Andaman and Nicobar Islands,10-06-2020,1,,151,,,,,2,,1715,,,,,35,33,10010,,,,
Andaman and Nicobar Islands,11-06-2020,3,,216,,,,,5,,1813,,,,,38,33,10226,,,,
Andaman and Nicobar Islands,12-06-2020,,,471,,,,,5,,2003,,,,,38,33,10697,,,,
Andaman and Nicobar Islands,13-06-2020,,,258,,,,,5,,1918,,,,,38,33,10955,,,,
Andaman and Nicobar Islands,14-06-2020,2,,401,,,,,7,,2114,,,,,40,33,11356,,,,
Andaman and Nicobar Islands,15-06-2020,1,,162,,,,,8,,2177,,,,,41,33,11518,,,,
Andaman and Nicobar Islands,16-06-2020,3,,291,,,,,10,,1950,,,,,44,33,11809,,,,
Andaman and Nicobar Islands,17-06-2020,,,430,,,,,9,,2229,,,,,44,33,12239,,,,
Andaman and Nicobar Islands,18-06-2020,1,2,383,,,,,7,2,2396,,,,,45,35,12622,,,,
Andaman and Nicobar Islands,19-06-2020,2,,308,,,,,9,2,2233,,,,,47,35,12930,,,,
Andaman and Nicobar Islands,20-06-2020,,,390,,,,,9,2,2365,,,,,47,35,13320,,,,
Andaman and Nicobar Islands,21-06-2020,1,2,114,,,,,8,4,2078,,,,,48,37,13434,,,,
Andaman and Nicobar Islands,22-06-2020,,,77,,,,,7,4,1993,,,,,48,37,13511,,,,
Andaman and Nicobar Islands,23-06-2020,2,3,212,,,,,6,7,1914,,,,,50,40,13723,,,,
Andaman and Nicobar Islands,24-06-2020,6,1,271,,,,,12,8,1755,,,,,56,41,13994,,,,
Andaman and Nicobar Islands,25-06-2020,2,,283,,,,,13,6,1655,,,,,58,41,14277,,,,
Andaman and Nicobar Islands,26-06-2020,14,2,306,,,,,25,8,1653,,,,,72,43,14583,,,,
Andaman and Nicobar Islands,27-06-2020,,,268,,,,,25,8,1531,,,,,72,43,14851,,,,
Andaman and Nicobar Islands,28-06-2020,11,2,243,,,,,35,8,1660,,,,,83,45,15094,,,,
Andaman and Nicobar Islands,29-06-2020,7,,316,,,,,42,8,1899,,,,,90,45,15410,,,,
Andaman and Nicobar Islands,30-06-2020,7,,299,,,,,47,5,1986,,,,,97,45,15709,,,,
Andaman and Nicobar Islands,01-07-2020,3,5,273,,,,,44,9,1988,,,,,100,50,15982,,,,
Andaman and Nicobar Islands,02-07-2020,9,1,296,,,,,51,10,2001,,,,,109,51,16278,,,,
Andaman and Nicobar Islands,03-07-2020,7,3,348,,,,,44,11,2043,,,,,116,54,16626,,,,
Andaman and Nicobar Islands,04-07-2020,3,12,206,,,,,47,23,1981,,,,,119,66,16832,,,,
Andaman and Nicobar Islands,05-07-2020,6,6,77,,,,,42,27,1815,,,,,125,72,16909,,,,
Andaman and Nicobar Islands,06-07-2020,16,2,186,,,,,51,29,1685,,,,,141,74,17095,,,,
Andaman and Nicobar Islands,07-07-2020,6,,286,,,,,50,29,1672,,,,,147,74,17381,,,,
Andaman and Nicobar Islands,08-07-2020,2,,262,,,,,49,24,1661,,,,,149,74,17643,,,,
Andaman and Nicobar Islands,09-07-2020,7,9,209,,,,,47,32,1574,,,,,156,83,17852,,,,
Andaman and Nicobar Islands,10-07-2020,,9,194,,,,,40,38,1420,,,,,156,92,18046,,,,
Andaman and Nicobar Islands,11-07-2020,,,269,,,,,37,26,1483,,,,,156,92,18315,,,,
Andaman and Nicobar Islands,12-07-2020,7,8,132,,,,,38,28,1538,,,,,163,100,18447,,,,
Andaman and Nicobar Islands,13-07-2020,3,9,162,,,,,25,35,1514,,,,,166,109,18609,,,,
Andaman and Nicobar Islands,14-07-2020,5,20,275,,,,,24,55,1503,,,,,171,129,18884,,,,
Andaman and Nicobar Islands,15-07-2020,5,1,177,,,,,27,56,1418,,,,,176,130,19061,,,,
Andaman and Nicobar Islands,16-07-2020,4,3,166,,,,,24,50,1375,,,,,180,133,19227,,,,
Andaman and Nicobar Islands,17-07-2020,4,9,194,,,,,28,50,1375,,,,,184,142,19421,,,,
Andaman and Nicobar Islands,18-07-2020,4,3,250,,,,,32,53,1356,,,,,188,145,19671,,,,
Andaman and Nicobar Islands,19-07-2020,15,,233,1,,,,40,45,1457,1,,,,203,145,19904,1,,,
Andaman and Nicobar Islands,20-07-2020,4,6,397,,,,,41,42,1692,1,,,,207,151,20301,1,,,
Andaman and Nicobar Islands,21-07-2020,5,8,341,,,,,41,30,1758,1,,,,212,159,20642,1,,,
Andaman and Nicobar Islands,22-07-2020,9,4,401,,,,,45,33,1982,1,,,,221,163,21043,1,,,
Andaman and Nicobar Islands,23-07-2020,19,7,267,,,,,60,37,2083,1,,,,240,170,21310,1,,,
Andaman and Nicobar Islands,24-07-2020,19,4,433,,,,,75,32,2322,1,,,,259,174,21743,1,,,
Andaman and Nicobar Islands,25-07-2020,31,2,222,,,,,102,31,2294,1,,,,290,176,21965,1,,,
Andaman and Nicobar Islands,26-07-2020,28,4,84,,,,,115,35,2145,,,,,318,180,22049,1,,,
Andaman and Nicobar Islands,27-07-2020,20,12,499,,1,,,131,41,2247,,1,,,338,192,22548,1,1,,
Andaman and Nicobar Islands,28-07-2020,25,4,377,,,,,151,37,2283,,1,,,363,196,22925,1,1,,
Andaman and Nicobar Islands,29-07-2020,65,5,292,,1,,,207,38,2174,,2,,,428,201,23217,1,2,,
Andaman and Nicobar Islands,30-07-2020,42,,398,,1,,,230,31,2305,,3,,,470,201,23615,1,3,,
Andaman and Nicobar Islands,31-07-2020,78,13,423,,2,,,289,40,2295,,5,,,548,214,24038,1,5,,
Andaman and Nicobar Islands,01-08-2020,88,12,270,,2,,,346,50,2343,,7,,,636,226,24308,1,7,,
Andaman and Nicobar Islands,02-08-2020,98,16,272,,1,,,416,62,2531,,8,,,734,242,24580,1,8,,
Andaman and Nicobar Islands,03-08-2020,96,21,454,-1,2,,,492,71,2486,-1,9,,,830,263,25034,,10,,
Andaman and Nicobar Islands,04-08-2020,98,14,458,,2,,,565,81,2567,-1,11,,,928,277,25492,,12,,
Andaman and Nicobar Islands,05-08-2020,99,49,334,,2,,,599,125,2609,-1,12,,,1027,326,25826,,14,,
Andaman and Nicobar Islands,06-08-2020,96,29,690,,2,,,653,154,2901,-1,13,,,1123,355,26516,,16,,
Andaman and Nicobar Islands,07-08-2020,99,70,399,,3,,,674,211,2877,-1,14,,,1222,425,26915,,19,,
Andaman and Nicobar Islands,08-08-2020,129,75,158,,1,,,715,274,2765,-1,13,,,1351,500,27073,,20,,
Andaman and Nicobar Islands,09-08-2020,139,148,30,,,,,756,406,2523,-1,12,,,1490,648,27103,,20,,
Andaman and Nicobar Islands,10-08-2020,135,61,243,,,,,795,446,2312,,10,,,1625,709,27346,,20,,
Andaman and Nicobar Islands,11-08-2020,139,40,109,,1,,,836,472,1963,,9,,,1764,749,27455,,21,,
Andaman and Nicobar Islands,12-08-2020,136,80,289,,,,,873,503,1918,,7,,,1900,829,27744,,21,,
Andaman and Nicobar Islands,13-08-2020,137,95,229,,1,,,914,569,1457,,6,,,2037,924,27973,,22,,
Andaman and Nicobar Islands,14-08-2020,149,108,156,,2,,,964,607,1214,,5,,,2186,1032,28129,,24,,
Andaman and Nicobar Islands,15-08-2020,120,96,80,,,,,955,628,1136,,4,,,2306,1128,28209,,24,,
Andaman and Nicobar Islands,16-08-2020,93,98,20,,4,,,909,578,1126,,8,,,2399,1226,28229,,28,,
Andaman and Nicobar Islands,17-08-2020,46,99,443,,1,,,820,616,1326,,9,,,2445,1325,28672,,29,,
Andaman and Nicobar Islands,18-08-2020,84,96,265,,1,,,765,672,1482,,9,,,2529,1421,28937,,30,,
Andaman and Nicobar Islands,19-08-2020,75,108,366,,,,,704,700,1559,,9,,,2604,1529,29303,,30,,
Andaman and Nicobar Islands,20-08-2020,76,109,184,,1,,,643,714,1514,,9,,,2680,1638,29487,,31,,
Andaman and Nicobar Islands,21-08-2020,67,106,86,,1,,,561,712,1444,,8,,,2747,1744,29573,,32,,
Andaman and Nicobar Islands,22-08-2020,61,109,315,,,,,502,725,1679,,8,,,2808,1853,29888,,32,,
Andaman and Nicobar Islands,23-08-2020,52,110,390,,1,,,461,737,2049,,5,,,2860,1963,30278,,33,,
Andaman and Nicobar Islands,24-08-2020,44,129,235,,2,,,459,767,1841,,6,,,2904,2092,30513,,35,,
Andaman and Nicobar Islands,25-08-2020,41,139,569,,2,,,416,810,2145,,7,,,2945,2231,31082,,37,,
Andaman and Nicobar Islands,26-08-2020,40,78,564,,4,,,381,780,2343,,11,,,2985,2309,31646,,41,,
Andaman and Nicobar Islands,27-08-2020,33,65,184,,1,,,338,736,2343,,11,,,3018,2374,31830,,42,,
Andaman and Nicobar Islands,28-08-2020,32,70,270,,,,,303,700,2527,,10,,,3050,2444,32100,,42,,
Andaman and Nicobar Islands,29-08-2020,31,75,307,,2,,,273,666,2519,,12,,,3081,2519,32407,,44,,
Andaman and Nicobar Islands,30-08-2020,23,67,267,,1,,,244,623,2396,,12,,,3104,2586,32674,,45,,
Andaman and Nicobar Islands,31-08-2020,28,61,811,,1,,,228,555,2972,,11,,,3132,2647,33485,,46,,
Andaman and Nicobar Islands,01-09-2020,28,67,1619,,,,,215,483,4022,,9,,,3160,2714,35104,,46,,
Andaman and Nicobar Islands,02-09-2020,26,44,1032,,1,,,201,449,4490,,6,,,3186,2758,36136,,47,,
Andaman and Nicobar Islands,03-09-2020,37,65,939,,1,,,205,449,5245,,6,,,3223,2823,37075,,48,,
Andaman and Nicobar Islands,04-09-2020,34,40,750,,1,,,207,419,5725,,7,,,3257,2863,37825,,49,,
Andaman and Nicobar Islands,05-09-2020,35,41,749,,1,,,211,385,6167,,6,,,3292,2904,38574,,50,,
Andaman and Nicobar Islands,06-09-2020,40,47,631,,,,,228,365,6531,,5,,,3332,2951,39205,,50,,
Andaman and Nicobar Islands,07-09-2020,27,46,790,,,,,227,350,6510,,4,,,3359,2997,39995,,50,,
Andaman and Nicobar Islands,08-09-2020,33,38,1044,,,,,232,321,5935,,4,,,3392,3035,41039,,50,,
Andaman and Nicobar Islands,09-09-2020,34,43,737,,1,,,240,320,5640,,4,,,3426,3078,41776,,51,,
Andaman and Nicobar Islands,10-09-2020,39,43,1016,,,,,242,298,5717,,3,,,3465,3121,42792,,51,,
Andaman and Nicobar Islands,11-09-2020,29,36,888,,,,,237,294,5855,,2,,,3494,3157,43680,,51,,
Andaman and Nicobar Islands,12-09-2020,27,45,890,,,,,229,298,5996,,1,,,3521,3202,44570,,51,,
Andaman and Nicobar Islands,13-09-2020,25,41,709,,,,,214,292,6074,,1,,,3546,3243,45279,,51,,
Andaman and Nicobar Islands,14-09-2020,11,35,708,,1,,,198,281,5992,,2,,,3557,3278,45987,,52,,
Andaman and Nicobar Islands,15-09-2020,17,40,836,,,,,182,283,5784,,2,,,3574,3318,46823,,52,,
Andaman and Nicobar Islands,16-09-2020,19,27,971,,,,,167,267,6018,,1,,,3593,3345,47794,,52,,
Andaman and Nicobar Islands,17-09-2020,11,33,1067,,,,,139,257,6069,,1,,,3604,3378,48861,,52,,
Andaman and Nicobar Islands,18-09-2020,27,36,1174,,,,,137,257,6355,,1,,,3631,3414,50035,,52,,
Andaman and Nicobar Islands,19-09-2020,13,22,646,,,,,123,234,6111,,1,,,3644,3436,50681,,52,,
Andaman and Nicobar Islands,20-09-2020,7,15,581,,,,,105,208,5983,,1,,,3651,3451,51262,,52,,
Andaman and Nicobar Islands,21-09-2020,22,18,958,,,,,116,191,6233,,,,,3673,3469,52220,,52,,
Andaman and Nicobar Islands,22-09-2020,18,10,625,,,,,117,161,6022,,,,,3691,3479,52845,,52,,
Andaman and Nicobar Islands,23-09-2020,21,15,746,,,,,119,149,5797,,,,,3712,3494,53591,,52,,
Andaman and Nicobar Islands,24-09-2020,32,9,-599,,,,,140,125,4131,,,,,3744,3503,52992,,52,,
Andaman and Nicobar Islands,25-09-2020,15,25,2177,,,,,128,114,5134,,,,,3759,3528,55169,,52,,
Andaman and Nicobar Islands,26-09-2020,15,23,890,,,,,130,115,5378,,,,,3774,3551,56059,,52,,
Andaman and Nicobar Islands,27-09-2020,20,2,602,,1,,,143,102,5399,,1,,,3794,3553,56661,,53,,
Andaman and Nicobar Islands,28-09-2020,9,29,682,,,,,130,113,5123,,1,,,3803,3582,57343,,53,,
Andaman and Nicobar Islands,29-09-2020,18,5,792,,,,,130,108,5290,,1,,,3821,3587,58135,,53,,
Andaman and Nicobar Islands,30-09-2020,14,21,628,,,,,123,114,5172,,1,,,3835,3608,58763,,53,,
Andaman and Nicobar Islands,01-10-2020,13,15,913,,,,,104,120,6684,,1,,,3848,3623,59676,,53,,
Andaman and Nicobar Islands,02-10-2020,10,8,761,,,,,99,103,5268,,1,,,3858,3631,60437,,53,,
Andaman and Nicobar Islands,03-10-2020,10,11,794,,,,,94,91,5172,,1,,,3868,3642,61231,,53,,
Andaman and Nicobar Islands,04-10-2020,16,7,872,,,,,90,96,5442,,,,,3884,3649,62103,,53,,
Andaman and Nicobar Islands,05-10-2020,15,10,906,,1,,,96,77,5666,,1,,,3899,3659,63009,,54,,
Andaman and Nicobar Islands,06-10-2020,13,19,781,,,,,91,91,5655,,1,,,3912,3678,63790,,54,,
Andaman and Nicobar Islands,07-10-2020,23,18,1321,,,,,100,88,6348,,1,,,3935,3696,65111,,54,,
Andaman and Nicobar Islands,08-10-2020,17,11,1133,,1,,,104,84,6568,,2,,,3952,3707,66244,,55,,
Andaman and Nicobar Islands,09-10-2020,24,17,1088,,,,,118,93,6895,,2,,,3976,3724,67332,,55,,
Andaman and Nicobar Islands,10-10-2020,16,20,1132,,,,,124,102,7233,,2,,,3992,3744,68464,,55,,
Andaman and Nicobar Islands,11-10-2020,13,20,682,,,,,121,115,7043,,2,,,4005,3764,69146,,55,,
Andaman and Nicobar Islands,12-10-2020,18,6,786,,,,,124,111,6923,,1,,,4023,3770,69932,,55,,
Andaman and Nicobar Islands,13-10-2020,13,12,848,,,,,124,104,6990,,1,,,4036,3782,70780,,55,,
Andaman and Nicobar Islands,14-10-2020,10,14,844,,,,,111,100,6513,,1,,,4046,3796,71624,,55,,
Andaman and Nicobar Islands,15-10-2020,16,21,901,,,,,110,110,6281,,,,,4062,3817,72525,,55,,
Andaman and Nicobar Islands,16-10-2020,10,14,838,,1,,,96,107,6031,,1,,,4072,3831,73363,,56,,
Andaman and Nicobar Islands,17-10-2020,11,17,914,,,,,91,104,5813,,1,,,4083,3848,74277,,56,,
Andaman and Nicobar Islands,18-10-2020,25,20,753,,,,,103,104,5884,,1,,,4108,3868,75030,,56,,
Andaman and Nicobar Islands,19-10-2020,18,24,947,,,,,103,122,6045,,1,,,4126,3892,75977,,56,,
Andaman and Nicobar Islands,20-10-2020,15,10,1223,,,,,105,120,6420,,1,,,4141,3902,77200,,56,,
Andaman and Nicobar Islands,21-10-2020,27,11,1103,,,,,122,117,6679,,1,,,4168,3913,78303,,56,,
Andaman and Nicobar Islands,22-10-2020,16,24,998,,1,,,122,120,6776,,2,,,4184,3937,79301,,57,,
Andaman and Nicobar Islands,23-10-2020,23,8,1467,,1,,,135,114,7405,,2,,,4207,3945,80768,,58,,
Andaman and Nicobar Islands,24-10-2020,18,23,1112,,,,,142,120,7603,,2,,,4225,3968,81880,,58,,
Andaman and Nicobar Islands,25-10-2020,20,15,746,,,,,137,115,7596,,2,,,4245,3983,82626,,58,,
Andaman and Nicobar Islands,26-10-2020,8,14,489,,,,,127,105,7138,,2,,,4253,3997,83115,,58,,
Andaman and Nicobar Islands,27-10-2020,21,22,1193,,,,,133,117,7108,,2,,,4274,4019,84308,,58,,
Andaman and Nicobar Islands,28-10-2020,15,20,1070,,,,,121,126,7075,,2,,,4289,4039,85378,,58,,
Andaman and Nicobar Islands,29-10-2020,16,15,1337,,1,,,121,117,7414,,2,,,4305,4054,86715,,59,,
Andaman and Nicobar Islands,30-10-2020,12,22,1074,,,,,110,131,7021,,1,,,4317,4076,87789,,59,,
Andaman and Nicobar Islands,31-10-2020,15,24,664,,,,,107,132,6573,,1,,,4332,4100,88453,,59,,
Andaman and Nicobar Islands,01-11-2020,8,12,1106,,1,,,95,129,6933,,2,,,4340,4112,89559,,60,,
Andaman and Nicobar Islands,02-11-2020,12,20,1342,,,,,99,135,7786,,2,,,4352,4132,90901,,60,,
Andaman and Nicobar Islands,03-11-2020,20,21,1348,,,,,98,134,7941,,2,,,4372,4153,92249,,60,,
Andaman and Nicobar Islands,04-11-2020,17,10,1157,,,,,100,124,8028,,2,,,4389,4163,93406,,60,,
Andaman and Nicobar Islands,05-11-2020,14,12,1233,,,,,98,121,7924,,1,,,4403,4175,94639,,60,,
Andaman and Nicobar Islands,06-11-2020,17,19,1575,,,,,103,118,8425,,1,,,4420,4194,96214,,60,,
Andaman and Nicobar Islands,07-11-2020,21,12,1389,,,,,109,106,9150,,1,,,4441,4206,97603,,60,,
Andaman and Nicobar Islands,08-11-2020,9,15,1209,,,,,110,109,9253,,,,,4450,4221,98812,,60,,
Andaman and Nicobar Islands,09-11-2020,13,18,1213,,,,,111,107,9124,,,,,4463,4239,100025,,60,,
Andaman and Nicobar Islands,10-11-2020,14,16,1201,,,,,105,102,8977,,,,,4477,4255,101226,,60,,
Andaman and Nicobar Islands,11-11-2020,17,12,1207,,,,,105,104,9027,,,,,4494,4267,102433,,60,,
Andaman and Nicobar Islands,12-11-2020,13,15,1166,,1,,,104,107,8960,,1,,,4507,4282,103599,,61,,
Andaman and Nicobar Islands,13-11-2020,11,22,1186,,,,,98,110,8571,,1,,,4518,4304,104785,,61,,
Andaman and Nicobar Islands,14-11-2020,9,11,914,,,,,86,109,8096,,1,,,4527,4315,105699,,61,,
Andaman and Nicobar Islands,15-11-2020,9,15,1035,,,,,86,109,7922,,1,,,4536,4330,106734,,61,,
Andaman and Nicobar Islands,16-11-2020,21,16,1346,,,,,94,107,8055,,1,,,4557,4346,108080,,61,,
Andaman and Nicobar Islands,17-11-2020,17,17,1566,,,,,97,108,8420,,1,,,4574,4363,109646,,61,,
Andaman and Nicobar Islands,18-11-2020,19,15,1520,,,,,99,111,8733,,1,,,4593,4378,111166,,61,,
Andaman and Nicobar Islands,19-11-2020,11,20,1626,,,,,97,116,9193,,,,,4604,4398,112792,,61,,
Andaman and Nicobar Islands,20-11-2020,13,10,1600,,,,,99,104,9607,,,,,4617,4408,114392,,61,,
Andaman and Nicobar Islands,21-11-2020,14,20,1576,,,,,104,113,10269,,,,,4631,4428,115968,,61,,
Andaman and Nicobar Islands,22-11-2020,10,12,1125,,,,,105,110,10359,,,,,4641,4440,117093,,61,,
Andaman and Nicobar Islands,23-11-2020,15,13,1561,,,,,99,107,10574,,,,,4656,4453,118654,,61,,
Andaman and Nicobar Islands,24-11-2020,11,11,1670,,,,,93,101,10678,,,,,4667,4464,120324,,61,,
Andaman and Nicobar Islands,25-11-2020,10,15,1607,,,,,84,101,10765,,,,,4677,4479,121931,,61,,
Andaman and Nicobar Islands,26-11-2020,5,12,1234,,,,,78,93,10373,,,,,4682,4491,123165,,61,,
Andaman and Nicobar Islands,27-11-2020,7,17,1667,,,,,72,100,10440,,,,,4689,4508,124832,,61,,
Andaman and Nicobar Islands,28-11-2020,9,10,1499,,,,,67,90,10363,,,,,4698,4518,126331,,61,,
Andaman and Nicobar Islands,29-11-2020,6,19,1581,,,,,63,97,10819,,,,,4704,4537,127912,,61,,
Andaman and Nicobar Islands,30-11-2020,6,13,1477,,,,,54,97,10735,,,,,4710,4550,129389,,61,,
Andaman and Nicobar Islands,01-12-2020,8,16,1691,,,,,51,102,10756,,,,,4718,4566,131080,,61,,
Andaman and Nicobar Islands,02-12-2020,5,17,1704,,,,,46,104,10853,,,,,4723,4583,132784,,61,,
Andaman and Nicobar Islands,03-12-2020,6,14,1571,,,,,47,106,11190,,,,,4729,4597,134355,,61,,
Andaman and Nicobar Islands,04-12-2020,13,14,1597,,,,,53,103,11120,,,,,4742,4611,135952,,61,,
Andaman and Nicobar Islands,05-12-2020,5,5,1696,,,,,49,98,11317,,,,,4747,4616,137648,,61,,
Andaman and Nicobar Islands,06-12-2020,11,8,1678,,,,,54,87,11414,,,,,4758,4624,139326,,61,,
Andaman and Nicobar Islands,07-12-2020,15,7,1635,,,,,63,81,11572,,,,,4773,4631,140961,,61,,
